ID,coppaRisk
2807,0.18831854662587874
1742,0.776584385169101
806,0.8214969027349375
2635,0.1817560927994493
9047,0.09593568821238024
3048,0.052888242246204614
4691,0.8700726926838603
1346,0.5432141495797419
7045,0.04962296983166676
958,0.7785677765622556
331,0.16977930496171556
1680,0.4533410614742288
7086,0.17142526148077547
1699,0.5166336958376941
8360,0.07298407073234861
5846,0.04915193772904742
8630,0.13566411530541198
8723,0.8332345169253446
6489,0.12669854466675845
8746,0.7752552087274688
7155,0.12169323078083144
1253,0.5812068194636709
8529,0.8562050344895297
2154,0.13586638475610294
1643,0.7772657560874643
1543,0.8218043687396814
2560,0.07937609866676046
3083,0.35627976271586054
1631,0.1337226127593661
4456,0.09017186664161468
8915,0.6752615218059999
3411,0.054269761214542245
1062,0.5027517138119652
6219,0.07201585878696672
3621,0.052052738733887216
3874,0.13743265270879076
5246,0.0790562051347145
8130,0.13334265304028076
8776,0.8781866092079215
7012,0.5553057896469478
5252,0.7182375961926923
2577,0.5943816421252963
1138,0.8031316602681673
4404,0.7091420635897168
6996,0.16216869228171718
3530,0.6242115521422145
9679,0.35780908262547273
6482,0.065362095603425
74,0.1075855151233658
7103,0.06078976015371019
1483,0.4558611468283391
6244,0.14109083688369164
1184,0.7168621361296457
8362,0.07795799093394654
3503,0.09348686148231176
4665,0.851316046957094
439,0.2403650480941755
733,0.7061880097448594
1308,0.5732428647564185
286,0.877824751070928
7345,0.19267292646200623
7662,0.03381502742509501
7063,0.10911923241015575
1492,0.09830808640741366
957,0.7598486345476815
963,0.3583912794824102
6499,0.06451881437551157
7530,0.052001556554590614
541,0.7931236751728796
3020,0.08460158820326627
8213,0.14129538949018872
72,0.11924698528559663
2427,0.1600276342865998
4038,0.45181805023233723
1781,0.07539391684026156
4085,0.05662892802407295
4390,0.0799923035598292
9295,0.04594252431689306
6324,0.059829372768881554
4899,0.5295634522773649
1359,0.49490158607448226
8024,0.07062901975964683
8558,0.7954494421060238
8709,0.9042734875466157
9947,0.8184759658475975
3864,0.06909631443942953
7484,0.7943897249244095
2251,0.5578218691363195
1920,0.8902016831989855
6142,0.06985926140917875
8969,0.09707518784957801
2782,0.0813212350667769
7214,0.16417476942911463
2397,0.10026561967097267
7631,0.09305446683399923
3086,0.05409028385425129
8316,0.06421010433735937
2528,0.22292558119964886
3286,0.03153489052907131
2901,0.8157596322382248
956,0.8350601093641424
726,0.5490830520047197
3308,0.12890674192732868
9913,0.09953405151715443
6432,0.13913849468651565
2521,0.12525871056413343
4536,0.09727065564500077
6431,0.4021684504232179
419,0.23016491067982198
5206,0.21869662814123225
5329,0.17428427922882642
9568,0.17645763952019525
1020,0.8571594957806933
8027,0.15010738478624597
